start_x,stop_x,patient_id,encounter_id_x,code_x,description,encounter_id_y,start_y,stop_y,encounterclass,code_y,base_encounter_cost,total_claim_cost,payer_coverage,healthcare_expenses,healthcare_coverage,encounter_reason,birthdate,deathdate,ssn,prefix,marital,race,ethnicity,gender,birthplace,city,state,county,latitude,longitude,age_today,status,country,days_in_hospital,days_in_hospital_int,service_in_minutes,medical_center,practicioner_name,practicioner_gender,medical_aid_scheme,encounter_year,allergy_count
1982-10-25,,76982e06-f8b8-4509-9ca3-65a99c8650fe,b896bf40-8b72-42b7-b205-142ee3a56b55,300916003,Latex,b896bf40-8b72-42b7-b205-142ee3a56b55,1982-10-25 18:19:08,1982-10-25 18:55:08,ambulatory,185347001,129.16,129.16,49.16,779464.29,11713.809999999998,allergy,1982-09-01,,999-21-5604,ms.,single,white,nonhispanic,female,bellingham  massachusetts ,boston,massachusetts,suffolk county,42.284598473357775,-71.13449674876126,41,alive,united states,0 days 00:36:00,0,36,south shore hospital,edie35 howell947,female,humana,1982,1
1982-10-25,,76982e06-f8b8-4509-9ca3-65a99c8650fe,b896bf40-8b72-42b7-b205-142ee3a56b55,300913006,Shellfish,b896bf40-8b72-42b7-b205-142ee3a56b55,1982-10-25 18:19:08,1982-10-25 18:55:08,ambulatory,185347001,129.16,129.16,49.16,779464.29,11713.809999999998,allergy,1982-09-01,,999-21-5604,ms.,single,white,nonhispanic,female,bellingham  massachusetts ,boston,massachusetts,suffolk county,42.284598473357775,-71.13449674876126,41,alive,united states,0 days 00:36:00,0,36,south shore hospital,edie35 howell947,female,humana,1982,1
2002-01-25,,71ba0469-f0cc-4177-ac70-ea07cb01c8b8,7be1a590-4239-4826-9872-031327f3c368,419474003,Mould,7be1a590-4239-4826-9872-031327f3c368,2002-01-25 20:46:46,2002-01-25 21:37:46,ambulatory,185347001,129.16,129.16,54.16,268920.58,9406.689999999997,allergy,2000-11-21,2012-11-21,999-28-2716,ms.,single,white,nonhispanic,female,lee  massachusetts ,ashland,massachusetts,middlesex county,42.2919859634347,-71.4637238426449,12,deceased,united states,0 days 00:51:00,0,51,metrowest medical center,keri25 schmidt332,female,blue cross blue shield,2002,1
2002-01-25,,71ba0469-f0cc-4177-ac70-ea07cb01c8b8,7be1a590-4239-4826-9872-031327f3c368,232347008,Dander (animal),7be1a590-4239-4826-9872-031327f3c368,2002-01-25 20:46:46,2002-01-25 21:37:46,ambulatory,185347001,129.16,129.16,54.16,268920.58,9406.689999999997,allergy,2000-11-21,2012-11-21,999-28-2716,ms.,single,white,nonhispanic,female,lee  massachusetts ,ashland,massachusetts,middlesex county,42.2919859634347,-71.4637238426449,12,deceased,united states,0 days 00:51:00,0,51,metrowest medical center,keri25 schmidt332,female,blue cross blue shield,2002,1
2002-01-25,,71ba0469-f0cc-4177-ac70-ea07cb01c8b8,7be1a590-4239-4826-9872-031327f3c368,418689008,Grass Pollen,7be1a590-4239-4826-9872-031327f3c368,2002-01-25 20:46:46,2002-01-25 21:37:46,ambulatory,185347001,129.16,129.16,54.16,268920.58,9406.689999999997,allergy,2000-11-21,2012-11-21,999-28-2716,ms.,single,white,nonhispanic,female,lee  massachusetts ,ashland,massachusetts,middlesex county,42.2919859634347,-71.4637238426449,12,deceased,united states,0 days 00:51:00,0,51,metrowest medical center,keri25 schmidt332,female,blue cross blue shield,2002,1
2002-01-25,,71ba0469-f0cc-4177-ac70-ea07cb01c8b8,7be1a590-4239-4826-9872-031327f3c368,419263009,Tree Pollen,7be1a590-4239-4826-9872-031327f3c368,2002-01-25 20:46:46,2002-01-25 21:37:46,ambulatory,185347001,129.16,129.16,54.16,268920.58,9406.689999999997,allergy,2000-11-21,2012-11-21,999-28-2716,ms.,single,white,nonhispanic,female,lee  massachusetts ,ashland,massachusetts,middlesex county,42.2919859634347,-71.4637238426449,12,deceased,united states,0 days 00:51:00,0,51,metrowest medical center,keri25 schmidt332,female,blue cross blue shield,2002,1
2002-01-25,,71ba0469-f0cc-4177-ac70-ea07cb01c8b8,7be1a590-4239-4826-9872-031327f3c368,714035009,Soya,7be1a590-4239-4826-9872-031327f3c368,2002-01-25 20:46:46,2002-01-25 21:37:46,ambulatory,185347001,129.16,129.16,54.16,268920.58,9406.689999999997,allergy,2000-11-21,2012-11-21,999-28-2716,ms.,single,white,nonhispanic,female,lee  massachusetts ,ashland,massachusetts,middlesex county,42.2919859634347,-71.4637238426449,12,deceased,united states,0 days 00:51:00,0,51,metrowest medical center,keri25 schmidt332,female,blue cross blue shield,2002,1
2002-01-25,,71ba0469-f0cc-4177-ac70-ea07cb01c8b8,7be1a590-4239-4826-9872-031327f3c368,417532002,Fish,7be1a590-4239-4826-9872-031327f3c368,2002-01-25 20:46:46,2002-01-25 21:37:46,ambulatory,185347001,129.16,129.16,54.16,268920.58,9406.689999999997,allergy,2000-11-21,2012-11-21,999-28-2716,ms.,single,white,nonhispanic,female,lee  massachusetts ,ashland,massachusetts,middlesex county,42.2919859634347,-71.4637238426449,12,deceased,united states,0 days 00:51:00,0,51,metrowest medical center,keri25 schmidt332,female,blue cross blue shield,2002,1
2018-07-30,,2f43a131-a43a-4c8c-a723-cc261adb9cc6,dbbace5a-29c8-458d-805b-2c3f7cbed818,419474003,Mould,dbbace5a-29c8-458d-805b-2c3f7cbed818,2018-07-31 02:47:44,2018-07-31 03:22:44,ambulatory,185347001,129.16,129.16,69.16,10057.19,1766.56,allergy,2017-02-23,,999-40-3169,ms.,single,white,hispanic,female,san jose  san jose ,boston,massachusetts,suffolk county,42.43109777176137,-71.00157229853994,7,alive,costa rica,0 days 00:35:00,0,35,hallmark health system,vern731 powlowski563,male,medicaid,2018,1
2018-07-30,,2f43a131-a43a-4c8c-a723-cc261adb9cc6,dbbace5a-29c8-458d-805b-2c3f7cbed818,232350006,Dust Mite,dbbace5a-29c8-458d-805b-2c3f7cbed818,2018-07-31 02:47:44,2018-07-31 03:22:44,ambulatory,185347001,129.16,129.16,69.16,10057.19,1766.56,allergy,2017-02-23,,999-40-3169,ms.,single,white,hispanic,female,san jose  san jose ,boston,massachusetts,suffolk county,42.43109777176137,-71.00157229853994,7,alive,costa rica,0 days 00:35:00,0,35,hallmark health system,vern731 powlowski563,male,medicaid,2018,1
